record_id,text,timestamp,topic,region,true_polarity,data_source
KE-0109,Maternal mortality in rural Kenya remains unacceptably high. Neglect must end.,2022-01-03 06:57:19,Healthcare,Machakos,negative,SYNTHETIC_DEMO
KE-0256,The electoral commission has failed Kenyans again. We demand accountability.,2022-01-03 08:54:36,Elections,Thika,negative,SYNTHETIC_DEMO
KE-0265,Voting underway in all 47 counties. Results expected by evening. #KenyaElections2022,2022-01-03 23:38:55,Elections,Kakamega,neutral,SYNTHETIC_DEMO
KE-0483,IEBC confirms voter turnout at 63% nationally as of midday.,2022-01-04 13:12:16,Elections,Mombasa,neutral,SYNTHETIC_DEMO
KE-0419,IEBC cannot be trusted to deliver credible results. The system is rigged! #RiggedElections,2022-01-04 14:22:34,Elections,Eldoret,negative,SYNTHETIC_DEMO
KE-0492,Kenya Revenue Authority reports KSh 1.2 trillion in tax collection for FY2021/22.,2022-01-04 16:04:55,Economy,Nyeri,neutral,SYNTHETIC_DEMO
KE-0069,Tallying of results continues at constituency level. Updates pending.,2022-01-04 18:07:41,Elections,Machakos,neutral,SYNTHETIC_DEMO
KE-0233,NHIF coverage expansion reaches more households in rural Kenya. A step forward.,2022-01-06 18:30:29,Healthcare,Nairobi,positive,SYNTHETIC_DEMO
KE-0188,Ethics and Anti-Corruption Commission tables annual report to parliament.,2022-01-06 23:02:59,Governance,Garissa,neutral,SYNTHETIC_DEMO
KE-0234,Fuel prices at an all-time high. The government must act now. #FuelCrisis,2022-01-07 03:05:25,Economy,Kakamega,negative,SYNTHETIC_DEMO
KE-0475,IEBC has done a commendable job in voter registration. Democracy is winning! #Elections2022,2022-01-07 07:10:49,Elections,Nakuru,positive,SYNTHETIC_DEMO
KE-0320,Violence at polling stations is shameful. Our democracy is under threat.,2022-01-07 09:11:18,Elections,Kakamega,negative,SYNTHETIC_DEMO
KE-0269,Results being delayed without explanation. What is IEBC hiding? #ElectionFraud,2022-01-08 06:41:01,Elections,Nairobi,negative,SYNTHETIC_DEMO
KE-0108,National Cancer Institute of Kenya opens second facility in Mombasa.,2022-01-08 14:03:03,Healthcare,Kakamega,neutral,SYNTHETIC_DEMO
KE-0324,Inflation eroding purchasing power. The economy is failing ordinary people.,2022-01-08 21:31:46,Economy,Garissa,negative,SYNTHETIC_DEMO
KE-0164,Voter turnout is impressive across the country. This is democracy at work.,2022-01-09 01:21:41,Elections,Kakamega,positive,SYNTHETIC_DEMO
KE-0035,Exports of tea and horticulture hit record highs. Agriculture sector thriving.,2022-01-09 04:03:12,Economy,Mombasa,positive,SYNTHETIC_DEMO
KE-0440,Exports of tea and horticulture hit record highs. Agriculture sector thriving.,2022-01-09 10:54:55,Economy,Nyeri,positive,SYNTHETIC_DEMO
KE-0204,IMF approves $2.3B extended credit facility for Kenya. Conditions attached.,2022-01-09 12:29:30,Economy,Eldoret,neutral,SYNTHETIC_DEMO
KE-0080,Interior Ministry issues security advisory ahead of elections. Citizens urged to remain calm.,2022-01-11 17:15:20,Security,Garissa,neutral,SYNTHETIC_DEMO
KE-0015,IEBC has done a commendable job in voter registration. Democracy is winning! #Elections2022,2022-01-13 11:11:45,Elections,Nairobi,positive,SYNTHETIC_DEMO
KE-0070,Violence at polling stations is shameful. Our democracy is under threat.,2022-01-14 23:48:23,Elections,Kisumu,negative,SYNTHETIC_DEMO
KE-0169,Kenya Power announces tariff review pending Energy Regulatory Commission approval.,2022-01-15 06:02:31,Economy,Machakos,neutral,SYNTHETIC_DEMO
KE-0283,NSE gains 3% this week on investor confidence. Markets looking healthy.,2022-01-15 14:31:29,Economy,Nyeri,positive,SYNTHETIC_DEMO
KE-0076,Results being delayed without explanation. What is IEBC hiding? #ElectionFraud,2022-01-16 00:56:22,Elections,Mombasa,negative,SYNTHETIC_DEMO
KE-0288,NHIF reforms failing to protect the poorest Kenyans. Reform the system now.,2022-01-16 04:49:51,Healthcare,Mombasa,negative,SYNTHETIC_DEMO
KE-0208,Al-Shabaab attacks in the North East continue. Government response inadequate.,2022-01-16 07:26:42,Security,Kisumu,negative,SYNTHETIC_DEMO
KE-0119,Open data portal launched by State House praised by civil society. Good governance.,2022-01-16 15:13:58,Governance,Mombasa,positive,SYNTHETIC_DEMO
KE-0285,Kenya Power announces tariff review pending Energy Regulatory Commission approval.,2022-01-16 22:21:33,Economy,Kakamega,neutral,SYNTHETIC_DEMO
KE-0494,Inflation eroding purchasing power. The economy is failing ordinary people.,2022-01-17 12:36:40,Economy,Mombasa,negative,SYNTHETIC_DEMO
KE-0318,The electoral process is transparent and credible. Kenyans deserve fair elections. #KenyaDecides2022,2022-01-19 13:03:25,Elections,Eldoret,positive,SYNTHETIC_DEMO
KE-0333,Presidential results will be announced within 7 days per constitutional requirement.,2022-01-19 13:33:57,Elections,Eldoret,neutral,SYNTHETIC_DEMO
KE-0453,Tallying of results continues at constituency level. Updates pending.,2022-01-19 21:41:46,Elections,Nyeri,neutral,SYNTHETIC_DEMO
KE-0098,Results being delayed without explanation. What is IEBC hiding? #ElectionFraud,2022-01-20 12:04:09,Elections,Garissa,negative,SYNTHETIC_DEMO
KE-0118,Voter turnout is impressive across the country. This is democracy at work.,2022-01-21 05:28:22,Elections,Nairobi,positive,SYNTHETIC_DEMO
KE-0312,Maternal mortality in rural Kenya remains unacceptably high. Neglect must end.,2022-01-21 16:23:24,Healthcare,Nairobi,negative,SYNTHETIC_DEMO
KE-0195,Police brutality during protests is deeply troubling. Officers must be held accountable.,2022-01-22 19:04:08,Security,Nairobi,negative,SYNTHETIC_DEMO
KE-0282,Kenya Power announces tariff review pending Energy Regulatory Commission approval.,2022-01-22 19:33:43,Economy,Eldoret,neutral,SYNTHETIC_DEMO
KE-0029,Public funds being looted while hospitals lack medicine. Accountability needed now.,2022-01-23 11:54:06,Governance,Eldoret,negative,SYNTHETIC_DEMO
KE-0415,Kenya's COVID-19 vaccination coverage exceeds 60%. Strong public health response.,2022-01-23 23:26:06,Healthcare,Eldoret,positive,SYNTHETIC_DEMO
