record_id,text,timestamp,topic,region,event_phase,reference_event,subtopic_tag,source_style,language_style,data_source
KE22-0822,Campaign stop in Kakamega ended with leaders calling for amani and acceptance of official results.,2022-06-29 06:10:32,Political Rallies,Kakamega,Campaign Build-up,smartmatic_controversy,campaign_message,campaign_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0014,"The campaign tone in Homabay is getting harsher, with more accusations than policy at the podium.",2022-06-29 20:18:54,Political Rallies,Homabay,Campaign Build-up,peace_messaging,crowd_mobilization,news_update,English,PROJECT_CURATED_CORPUS
KE22-0313,Party agents in Kajiado say some officials are acting partisan instead of procedural.,2022-06-30 11:10:09,Staffing Issues,Kajiado,Campaign Build-up,smartmatic_controversy,official_absence,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0693,People have been on the queue for hours in Bungoma and still no clear guidance from officials.,2022-06-30 12:54:47,Voting Issues,Bungoma,Campaign Build-up,smartmatic_controversy,queue_delay,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0199,William Ruto rally in Nairobi drew a strong crowd and the message stayed focused on jobs and turnout.,2022-07-01 01:54:46,Political Rallies,Nairobi,Campaign Build-up,campaign_finale,candidate_itinerary,news_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0630,Road blockage reported near a voting centre in Homabay. People are being told to avoid the area.,2022-07-01 05:33:27,Security Issues,Homabay,Campaign Build-up,smartmatic_controversy,localized_disruption,incident_report,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0751,Security officers remain deployed near key centres in Kajiado as results statements continue.,2022-07-01 10:25:00,Security Issues,Kajiado,Campaign Build-up,peace_messaging,localized_disruption,incident_report,English,PROJECT_CURATED_CORPUS
KE22-0546,Too many unanswered questions around IEBC communication. Confidence is dropping fast in Nairobi. Hii sio sawa.,2022-07-01 22:37:17,Public Opinion,Nairobi,Campaign Build-up,peace_messaging,concern_over_integrity,citizen_commentary,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0181,People are angry about delays and mixed messaging. This process should feel clearer than this.,2022-07-01 23:20:10,Public Opinion,Kisumu,Campaign Build-up,voter_mobilization,trust_in_iebc,social_post,English,PROJECT_CURATED_CORPUS
KE22-0807,"Observers say turnout patterns remain uneven, with urban stations moving slower than rural centres.",2022-07-02 04:28:16,Media Reports,Kisumu,Campaign Build-up,voter_mobilization,commission_update,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0535,"Voters here are sharing water, directions and information. Good atmosphere despite the pressure.",2022-07-03 06:27:22,Positive Events,Mombasa,Campaign Build-up,smartmatic_controversy,peace_initiative,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0137,Trust is getting damaged because officials are not explaining what is happening at Bomas properly. Hii sio sawa.,2022-07-03 10:56:39,Public Opinion,Nairobi,Campaign Build-up,campaign_finale,candidate_support,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0196,Campaign teams release parallel statements as the commission continues verification of forms.,2022-07-03 14:34:54,Media Reports,Kiambu,Campaign Build-up,voter_mobilization,commission_update,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0209,People have been on the queue for hours in Nairobi and still no clear guidance from officials.,2022-07-03 19:51:41,Voting Issues,Nairobi,Campaign Build-up,campaign_finale,invalid_ballot,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0594,Polling station teams in Bungoma are dealing with slow KIEMS checks but the line is moving.,2022-07-04 18:46:39,Voting Issues,Bungoma,Campaign Build-up,peace_messaging,voter_assistance,observer_note,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0212,Azimio rally in Nairobi drew a strong crowd and the message stayed focused on jobs and turnout.,2022-07-04 19:28:02,Political Rallies,Nairobi,Campaign Build-up,voter_mobilization,campaign_message,news_update,English,PROJECT_CURATED_CORPUS
KE22-0379,"Everything is moving well at this station in Uasin Gishu. Long line, yes, but people are patient and calm. Tuwe watulivu.",2022-07-05 02:53:56,Positive Events,Uasin Gishu,Campaign Build-up,peace_messaging,peace_initiative,peace_monitor,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0083,"I may not agree with everyone, but voters turning out quietly in Siaya is encouraging. Tuwe watulivu.",2022-07-05 08:14:48,Public Opinion,Siaya,Campaign Build-up,smartmatic_controversy,peace_message,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0101,"I may not agree with everyone, but voters turning out quietly in Nairobi is encouraging.",2022-07-06 06:39:05,Public Opinion,Nairobi,Campaign Build-up,campaign_finale,concern_over_integrity,social_post,English,PROJECT_CURATED_CORPUS
KE22-0193,"Whatever our politics, Kenya looks calm so far. This is the kind of uchaguzi we prayed for.",2022-07-06 11:41:01,Public Opinion,Nakuru,Campaign Build-up,peace_messaging,results_anxiety,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0830,"Everything is moving well at this station in Kisumu. Long line, yes, but people are patient and calm.",2022-07-06 15:28:32,Positive Events,Kisumu,Campaign Build-up,campaign_finale,peace_initiative,peace_monitor,English,PROJECT_CURATED_CORPUS
KE22-0806,Campaign stop in Nakuru ended with leaders calling for peace and acceptance of official results. Tuwe watulivu.,2022-07-07 03:02:49,Political Rallies,Nakuru,Campaign Build-up,campaign_finale,coalition_response,campaign_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0161,Media update: disputes over forms and tallying procedures intensify pressure on the commission.,2022-07-07 04:15:29,Media Reports,Kajiado,Campaign Build-up,smartmatic_controversy,candidate_quote,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0833,Peaceful queues in Garissa leo. Let the watu choose and let IEBC finish the job. #Uchaguzi2022,2022-07-08 18:29:23,Public Opinion,Garissa,Campaign Build-up,smartmatic_controversy,results_anxiety,citizen_commentary,English-Swahili,PROJECT_CURATED_CORPUS
