record_id,text,timestamp,topic,region,true_polarity,data_source,clean_text,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_label,year_month,month_name,week
KE-0109,Maternal mortality in rural Kenya remains unacceptably high. Neglect must end.,2022-01-03 06:57:19,Healthcare,Machakos,negative,SYNTHETIC_DEMO,maternal mortality in rural kenya remains unacceptably high. neglect must end.,0.231,0.769,0.0,-0.4588,Negative,2022-01,Jan 2022,1
KE-0256,The electoral commission has failed Kenyans again. We demand accountability.,2022-01-03 08:54:36,Elections,Thika,negative,SYNTHETIC_DEMO,the electoral commission has failed kenyans again. we demand accountability.,0.375,0.625,0.0,-0.5859,Negative,2022-01,Jan 2022,1
KE-0265,Voting underway in all 47 counties. Results expected by evening. #KenyaElections2022,2022-01-03 23:38:55,Elections,Kakamega,neutral,SYNTHETIC_DEMO,voting underway in all 47 counties. results expected by evening. kenyaelections2022,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,1
KE-0483,IEBC confirms voter turnout at 63% nationally as of midday.,2022-01-04 13:12:16,Elections,Mombasa,neutral,SYNTHETIC_DEMO,iebc confirms voter turnout at 63% nationally as of midday.,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,1
KE-0419,IEBC cannot be trusted to deliver credible results. The system is rigged! #RiggedElections,2022-01-04 14:22:34,Elections,Eldoret,negative,SYNTHETIC_DEMO,iebc cannot be trusted to deliver credible results. the system is rigged! riggedelections,0.327,0.673,0.0,-0.6537,Negative,2022-01,Jan 2022,1
KE-0492,Kenya Revenue Authority reports KSh 1.2 trillion in tax collection for FY2021/22.,2022-01-04 16:04:55,Economy,Nyeri,neutral,SYNTHETIC_DEMO,kenya revenue authority reports ksh 1.2 trillion in tax collection for fy2021/22.,0.0,0.894,0.106,0.0772,Positive,2022-01,Jan 2022,1
KE-0069,Tallying of results continues at constituency level. Updates pending.,2022-01-04 18:07:41,Elections,Machakos,neutral,SYNTHETIC_DEMO,tallying of results continues at constituency level. updates pending.,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,1
KE-0233,NHIF coverage expansion reaches more households in rural Kenya. A step forward.,2022-01-06 18:30:29,Healthcare,Nairobi,positive,SYNTHETIC_DEMO,nhif coverage expansion reaches more households in rural kenya. a step forward.,0.0,0.902,0.098,0.0516,Positive,2022-01,Jan 2022,1
KE-0188,Ethics and Anti-Corruption Commission tables annual report to parliament.,2022-01-06 23:02:59,Governance,Garissa,neutral,SYNTHETIC_DEMO,ethics and anti-corruption commission tables annual report to parliament.,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,1
KE-0234,Fuel prices at an all-time high. The government must act now. #FuelCrisis,2022-01-07 03:05:25,Economy,Kakamega,negative,SYNTHETIC_DEMO,fuel prices at an all-time high. the government must act now. fuelcrisis,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,1
KE-0475,IEBC has done a commendable job in voter registration. Democracy is winning! #Elections2022,2022-01-07 07:10:49,Elections,Nakuru,positive,SYNTHETIC_DEMO,iebc has done a commendable job in voter registration. democracy is winning! elections2022,0.0,0.765,0.235,0.5707,Positive,2022-01,Jan 2022,1
KE-0320,Violence at polling stations is shameful. Our democracy is under threat.,2022-01-07 09:11:18,Elections,Kakamega,negative,SYNTHETIC_DEMO,violence at polling stations is shameful. our democracy is under threat.,0.572,0.428,0.0,-0.8934,Negative,2022-01,Jan 2022,1
KE-0269,Results being delayed without explanation. What is IEBC hiding? #ElectionFraud,2022-01-08 06:41:01,Elections,Nairobi,negative,SYNTHETIC_DEMO,results being delayed without explanation. what is iebc hiding? electionfraud,0.339,0.661,0.0,-0.4767,Negative,2022-01,Jan 2022,1
KE-0108,National Cancer Institute of Kenya opens second facility in Mombasa.,2022-01-08 14:03:03,Healthcare,Kakamega,neutral,SYNTHETIC_DEMO,national cancer institute of kenya opens second facility in mombasa.,0.328,0.672,0.0,-0.6597,Negative,2022-01,Jan 2022,1
KE-0324,Inflation eroding purchasing power. The economy is failing ordinary people.,2022-01-08 21:31:46,Economy,Garissa,negative,SYNTHETIC_DEMO,inflation eroding purchasing power. the economy is failing ordinary people.,0.268,0.732,0.0,-0.5106,Negative,2022-01,Jan 2022,1
KE-0164,Voter turnout is impressive across the country. This is democracy at work.,2022-01-09 01:21:41,Elections,Kakamega,positive,SYNTHETIC_DEMO,voter turnout is impressive across the country. this is democracy at work.,0.0,0.769,0.231,0.5106,Positive,2022-01,Jan 2022,1
KE-0035,Exports of tea and horticulture hit record highs. Agriculture sector thriving.,2022-01-09 04:03:12,Economy,Mombasa,positive,SYNTHETIC_DEMO,exports of tea and horticulture hit record highs. agriculture sector thriving.,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,1
KE-0440,Exports of tea and horticulture hit record highs. Agriculture sector thriving.,2022-01-09 10:54:55,Economy,Nyeri,positive,SYNTHETIC_DEMO,exports of tea and horticulture hit record highs. agriculture sector thriving.,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,1
KE-0204,IMF approves $2.3B extended credit facility for Kenya. Conditions attached.,2022-01-09 12:29:30,Economy,Eldoret,neutral,SYNTHETIC_DEMO,imf approves $2.3b extended credit facility for kenya. conditions attached.,0.0,0.602,0.398,0.6486,Positive,2022-01,Jan 2022,1
